"","locations.lon","locations.lat"
"239",-97.5164276,35.4675602
"240",-71.0588801,42.3600825
"241",NA,NA
"242",NA,NA
"243",NA,NA
"244",NA,NA
"245",-71.1270268,42.2832142
"246",-97.7430608,30.267153
"247",NA,NA
"248",-70.8823264,43.1979166
"249",NA,NA
"250",-74.0059413,40.7127837
"251",NA,NA
"252",NA,NA
"253",NA,NA
"254",-74.0059413,40.7127837
"255",NA,NA
"256",NA,NA
"257",-83.7524298,40.1083912
"258",-118.2436849,34.0522342
"259",-70.6692655,-33.4488897
"260",-77.4105409,39.4142688
"261",NA,NA
"262",-89.4012302,43.0730517
"263",NA,NA
"264",NA,NA
"265",-81.1637245,33.836081
"266",-67.9972104,10.1579312
"267",-106.346771,56.130366
"268",-82.907123,40.4172871
"269",-122.6764816,45.5230622
"270",NA,NA
"271",-99.1181908,19.4023953
"272",-95.3698028,29.7604267
"273",-121.4943996,38.5815719
"274",-102.552784,23.634501
"275",NA,NA
"276",-118.2436849,34.0522342
"277",-118.2436849,34.0522342
"278",-118.2436849,34.0522342
"279",NA,NA
"280",NA,NA
"281",-118.2436849,34.0522342
"282",NA,NA
"283",NA,NA
"284",NA,NA
"285",-102.552784,23.634501
"286",-104.9739333,39.5480789
"287",-84.3879824,33.7489954
"288",NA,NA
"289",-95.712891,37.09024
"290",-79.5258035,8.9888355
"291",NA,NA
"292",-72.6850932,41.7637111
"293",-83.8088171,39.9242266
"294",-102.552784,23.634501
"295",-81.7075787,12.5450153
"296",-1.1743197,52.3555177
"297",-71.2760089,42.4906231
"298",NA,NA
"299",-73.567256,45.5016889
"300",-95.712891,37.09024
"301",-105.7820674,39.5500507
"302",-159.5891667,21.9061111
"303",NA,NA
"304",-95.712891,37.09024
"305",-82.9987942,39.9611755
"306",-83.0007774,43.8019592
"307",-73.087648,43.7981572
"308",NA,NA
"309",NA,NA
"310",NA,NA
"311",-103.3496092,20.6596988
"312",-84.3879824,33.7489954
"313",-110.926479,32.2217429
"314",11.5835327,48.1450519
"315",NA,NA
"316",-115.1398296,36.1699412
"317",NA,NA
"318",-96.474987,32.8365147
"319",NA,NA
"320",-99.1608372,19.3215486
"321",NA,NA
"322",NA,NA
"323",-95.712891,37.09024
"324",NA,NA
"325",-106.0691004,28.6329957
"326",NA,NA
"327",NA,NA
"328",-71.2511443,42.7795216
"329",NA,NA
"330",-119.5383294,37.8651011
"331",NA,NA
"332",NA,NA
"333",-77.1945247,41.2033216
"334",-117.0844733,33.706966
"335",-91.1945688,34.8878719
"336",-118.2436849,34.0522342
"337",-82.5748194,27.4989278
"338",NA,NA
"339",NA,NA
"340",-71.0040013,42.2079017
"341",NA,NA
"342",-99.4803241,27.5305671
"343",-47.8821658,-15.7942287
"344",-84.6266111,38.9989499
"345",-99.9018131,31.9685988
"346",NA,NA
"347",-2.1289298,52.0026941
"348",-117.9536697,33.7091847
"349",NA,NA
"350",-46.6333094,-23.5505199
"351",-87.771964,41.909611
"352",NA,NA
"353",NA,NA
"354",-83.2732627,42.3369816
"355",NA,NA
"356",-95.712891,37.09024
"357",-84.3879824,33.7489954
"358",-86.5804473,35.5174913
"359",-79.3831843,43.653226
"360",NA,NA
"361",-120.8958242,38.8375215
"362",-106.2800242,43.4113604
"363",-94.5785667,39.0997265
"364",-117.1610838,32.715738
"365",NA,NA
"366",-90.1994042,38.6270025
"367",-95.712891,37.09024
"368",NA,NA
"369",-98.4786269,28.967194
"370",NA,NA
"371",-78.8233661,42.797281
"372",174.7639505,-36.7723629
"373",NA,NA
"374",NA,NA
"375",-84.3346473,33.9462125
"376",-120.8958242,38.8375215
"377",NA,NA
"378",-86.1349019,40.2671941
"379",NA,NA
"380",NA,NA
"381",NA,NA
"382",NA,NA
"383",-81.4498717,37.2232316
"384",NA,NA
"385",-84.5193754,34.1014873
"386",NA,NA
"387",NA,NA
"388",NA,NA
"389",NA,NA
"390",-112.0740373,33.4483771
"391",-84.4838654,42.7369792
"392",NA,NA
"393",-86.777479,36.1605021
"394",NA,NA
"395",NA,NA
"396",-77.0368707,38.9071923
"397",-83.0457538,42.331427
"398",-77.6109219,43.16103
"399",NA,NA
"400",NA,NA
"401",NA,NA
"402",-74.0059413,40.7127837
"403",NA,NA
"404",NA,NA
"405",-91.9623327,30.9842977
"406",-84.4821719,42.701848
"407",-97.1080656,32.735687
"408",NA,NA
"409",-81.5157535,27.6648274
"410",NA,NA
"411",-92.345806,34.710705
"412",NA,NA
"413",-97.165092,33.6158849
"414",-83.3553842,42.2161722
"415",-104.990251,39.7392358
"416",NA,NA
"417",133.775136,-25.274398
"418",NA,NA
"419",NA,NA
"420",-110.2877262,40.3592857
"421",0.6673665,51.7659078
"422",NA,NA
